ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count
34679164,2021-10-01,http://www.bioinsilico.org/T-ARDIS,T-ARDIS,0.996051848,Target-Adverse Reaction Database Integrated Search,0.962873194,T-ARDIS,0.996051848,1
33552037,2021-01-21,http://www.biomaster-uestc.cn,BioMaster,0.990046203,,0,BioMaster,0.990046203,1
31637139,2019-10-15,http://www.biomed-bigdata.com:50020/index.html,ncRNA2MetS,0.990252088,metabolic syndrome-associated non,0.63908056,ncRNA2MetS,0.990252088,1
34345532,2021-07-16,http://www.biomedical-web.com/cancerit,CanImmunother,0.998033106,,0,CanImmunother,0.998033106,1
28124611,2017-01-01,http://www.biominingbu.org/immunemir,ImmunemiR,0.989842415,,0,ImmunemiR,0.989842415,1
22171328,2011-12-13,http://www.bios.unc.edu/research/genomic_software/seeQTL,seeQTL,0.995602727,,0,seeQTL,0.995602727,1
32542382,2020-06-01,http://www.biosequencing.cn/PRMdb,PRMdb,0.995993018,high-throughput analysis of modified,0.833429269,PRMdb,0.995993018,1
33985427,2021-05-13,http://www.biosequencing.cn/TarDB,TarDB,0.990120292,,0,TarDB,0.990120292,1
27189610,2016-05-17,"http://www.biosharing.org, http://www.biosharing.org",BioSharing,0.98941499,,0,BioSharing,0.98941499,1
37881319,2023-06-13,http://www.biosino.org/mpa,MPA,0.892500922083855,Mycobacteriaceae Phenome Atlas,0.960052146,Mycobacteriaceae Phenome Atlas,0.9600521459,1
37167092,2023-05-11,http://www.biosino.org/nafldkb,NAFLDkb,0.997683585,,0,NAFLDkb,0.9976835847,1
36243989,2023-01-01,http://www.biosino.org/pggsv,PGG.SV,0.993154692649841,,0,PGG.SV,0.993154693,1
31642469,2020-01-01,http://www.biosino.org/PhenoModifier,PhenoModifier,0.996493459,,0,PhenoModifier,0.996493459,1
33074314,2021-01-01,http://www.biosino.org/transcirc,TransCirc,0.997567892,,0,TransCirc,0.997567892,1
35493528,2022-04-13,http://www.biostatistics.online/dbPepNeo2,dbPepNeo,0.993365526199341,,0,dbPepNeo,0.993365526,1
23390356,2013-01-18,http://www.bioterrorism.biowaves.org,BIRS,0.993844032,BIRS - Bioterrorism Information Retrieval System,0.7868629,BIRS,0.993844032,1
32076423,2020-01-31,http://www.biotoclin.org/FHLdb,FHLdb,0.99812746,Familial Hemophagocytic,0.593275462,FHLdb,0.99812746,1
28095775,2017-01-17,http://www.biw.kuleuven.be/CSB/ARA-PEPs,ARA-PEPs,0.987573981,,0,ARA-PEPs,0.987573981,1
34508354,2022-01-01,http://www.bmibig.cn/scAPAdb,scAPAdb,0.995790362358093,,0,scAPAdb,0.995790362,1
29031638,2017-10-12,http://www.bmicnip.in/dbgaps,dbGAPs,0.978835642,,0,dbGAPs,0.978835642,1
29039006,2018-01-01,"http://www.brachypodium.org, http://brachy.bmep.riken.jp/ver.1/index.pl",RBFLDB,0.992151543,RIKEN Full-length cDNA Database,0.988669369,RBFLDB,0.992151543,1
36251776,2022-10-01,http://www.bracs.icar.cnr.it,BRACS,0.993604481220245,BReAst Carcinoma Subtyping,0.594121936294768,BRACS,0.993604481,1
23193282,2012-11-28,http://www.brain-map.org,Allen Brain Atlas,0.758832355,,0,Allen Brain Atlas,0.758832355,1
34528715,2021-09-28,http://www.brain-uk.org,BRAIN UK,0.898930291,,0,BRAIN UK,0.898930291,1
29985970,2019-01-01,http://www.brainexp.org,BrainEXP,0.997224808,Brain EXPression Database,0.938273266,BrainEXP,0.997224808,1
26794641,2016-01-18,"http://www.brainsimagebank.ac.uk, http://dicom.nema.org",BRAINS,0.985277057,Brain Images of Normal Subjects,0.966778862,BRAINS,0.985277057,1
"23203881, 25378310, 33211880",2021-01-01,http://www.brenda-enzymes.org,BRENDA,0.997791767,BRaunschweig ENzyme DAtabase,0.770335999,BRENDA,0.997791767,3
33174596,2021-01-01,http://www.broadinstitute.org/mitocarta,MitoCarta,0.984350145,,0,MitoCarta,0.984350145,1
21546393,2011-05-05,http://www.broadinstitute.org/msigdb,MSigDB,0.988693297,Molecular signatures database,0.879078257,MSigDB,0.988693297,1
36350631,2023-01-01,http://www.bv-brc.org,BV-BRC,0.966423537049975,Bacterial and Viral Bioinformatics Resource Center,0.902027715336193,BV-BRC,0.966423537,1
22080563,2011-11-12,http://www.cadre-genomes.org.uk,CADRE,0.994582891,Central Aspergillus Data REpository,0.973802202,CADRE,0.994582891,1
30329086,2019-01-01,http://www.cagmdb.org,CAGm,0.991939008,Comparative Analysis of Germline Microsatellites,0.97115584,CAGm,0.991939008,1
