ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,publication_date,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
28415075,HopBase,0.980602145,HopBase,0.980602145,,0,1,2017-01-01,"http://hopbase.org, http://hopbase.cgrb.oregonstate.edu","302, 302","US, US","(44.5646,-123.2620), (44.5646,-123.2620)","http://web.archive.org/web/20240530181143/https://hopbase.org/, http://web.archive.org/web/20240708212115/https://hopbase.cgrb.oregonstate.edu./"
28557712,ICE,0.860381097,ICE,0.860381097,Chemical Environment,0.508983597,1,2017-05-25,"http://ice.ntp.niehs.nih.gov, http://doi.org/10.1289/EHP1759","302, 301","US, US","(35.9940,-78.8986), (37.7621,-122.3971)","http://web.archive.org/web/20240521094049/https://ice.ntp.niehs.nih.gov/, no_wayback"
28592293,Plasmobase,0.995240629,Plasmobase,0.995240629,,0,1,2017-06-07,http://genome.lcqb.upmc.fr/plasmobase,301,FR,"(48.8534,2.3488)",http://web.archive.org/web/20231002221822/http://genome.lcqb.upmc.fr/plasmobase/
28701700,HDNetDB,0.996480525,HDNetDB,0.996480525,,0,1,2017-07-12,http://hdnetdb.sysbiolab.eu,503,,,http://web.archive.org/web/20240224040204/http://hdnetdb.sysbiolab.eu/
28967693,HUMA,0.995447814,HUMA,0.995447814,Analysis,0.605870187,1,2017-10-17,http://huma.rubi.ru.ac.za,301,ZA,"(-33.3042,26.5328)",http://web.archive.org/web/20231118015148/https://huma.rubi.ru.ac.za/
28968841,AtCircDB,0.993186295,AtCircDB,0.993186295,,0,1,2019-01-01,http://genome.sdau.edu.cn/circRNA,"HTTPConnectionPool(host='genome.sdau.edu.cn', port=80): Pool is closed.",,,no_wayback
29028885,HoTResDB,0.99197798,HoTResDB,0.99197798,Host Transcriptional Response DataBase,0.976372804,1,2018-01-01,http://hotresdb.bu.edu,302,US,"(42.3584,-71.0598)",http://web.archive.org/web/20230329200649/http://hotresdb.bu.edu/
29028888,RRDB,0.973243475,RRDB,0.973243475,RNA-RNA docking benchmark,0.873065448,1,2018-02-01,http://huanglab.phys.hust.edu.cn/RRDbenchmark,301,CN,"(31.2222,121.4581)",http://web.archive.org/web/20240302053029/http://huanglab.phys.hust.edu.cn/RRDbenchmark/
29036693,ICG,0.994124234,ICG,0.994124234,,0,1,2018-01-01,http://icg.big.ac.cn,301,CN,"(39.9906,116.2887)",http://web.archive.org/web/20210518233447/https://icg.big.ac.cn/
29040670,ICTV,0.662099421,ICTV,0.662099421,on Taxonomy of,0.613117501,1,2018-01-01,"http://ictv.global, http://ictv.global/report","302, 302","US, US","(39.0437,-77.4875), (39.0437,-77.4875)","http://web.archive.org/web/20240711201057/https://ictv.global/, http://web.archive.org/web/20240703160957/https://ictv.global/report"
29041922,iCAN,0.989729762,iCAN,0.989729762,Institute Collection and Analysis of Nanobodies,0.950395688,1,2017-10-17,http://ican.ils.seu.edu.cn,403,,,http://web.archive.org/web/20201112230443/http://ican.ils.seu.edu.cn/
29088455,HCMDB,0.996219456,HCMDB,0.996219456,human cancer metastasis database,0.887695861,1,2018-01-01,http://hcmdb.i-sanger.com/index,"HTTPConnectionPool(host='hcmdb.i-sanger.com', port=80): Pool is closed.",,,http://web.archive.org/web/20230512151731/http://hcmdb.i-sanger.com/index/
29179110,LAND-deFeND,0.969560434,LAND-deFeND,0.969560434,LANDslides and Floods National Database,0.881252799,1,2017-11-24,http://geomorphology.irpi.cnr.it/tools,200,IT,"(43.1122,12.3888)",http://web.archive.org/web/20230626223958/http://geomorphology.irpi.cnr.it/tools
29216377,PeachVar-DB,0.993295565,PeachVar-DB,0.993295565,,0,1,2018-01-01,http://hpc-bioinformatics.cineca.it/peach,301,IT,"(44.4938,11.3387)",http://web.archive.org/web/20231117040245/http://hpc-bioinformatics.cineca.it/peach/
29297316,TBEVhostDB,0.947500706,TBEVhostDB,0.947500706,,0,1,2017-12-28,http://icg.nsc.ru/TBEVHostDB,301,RU,"(55.0415,82.9346)",no_wayback
29649979,Ginseng Genome Database,0.915763418,,0,Ginseng Genome Database,0.915763418,1,2018-04-12,http://ginsengdb.snu.ac.kr,"HTTPConnectionPool(host='ginsengdb.snu.ac.kr', port=80): Pool is closed.",,,http://web.archive.org/web/20220814065345/http://ginsengdb.snu.ac.kr/
29697370,LDSplitDB,0.995853007,LDSplitDB,0.995853007,,0,1,2018-04-20,http://histone.scse.ntu.edu.sg/LDSplitDB,"HTTPConnectionPool(host='histone.scse.ntu.edu.sg', port=80): Max retries exceeded with url: /LDSplitDB (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f586f70>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,no_wayback
29869221,MU3D,0.996364331,MU3D,0.996364331,Miami University Deception Detection Database,0.954041362,1,2019-02-01,http://hdl.handle.net/2374.MIA/6067,302,US,"(37.7621,-122.3971)",no_wayback
29982280,PepBDB,0.992508531,PepBDB,0.992508531,Peptide Binding DataBase,0.660811494,1,2019-01-01,http://huanglab.phys.hust.edu.cn/pepbdb,301,CN,"(31.2222,121.4581)",http://web.archive.org/web/20240327185030/http://huanglab.phys.hust.edu.cn/pepbdb/
30053237,HDncRNA,0.996445835,HDncRNA,0.996445835,Heart Disease-related Non-coding RNAs Database,0.990663501,1,2018-01-01,http://hdncrna.cardiacdev.com,"HTTPConnectionPool(host='hdncrna.cardiacdev.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f1c95b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,no_wayback
30053270,BioMuta,0.790885687,BioMuta,0.790885687,,0,1,2018-01-01,"http://hive.biochemistry.gwu.edu/biomuta, http://hive.biochemistry.gwu.edu/bioxpress","301, 301","US, US","(39.0437,-77.4875), (39.0437,-77.4875)","http://web.archive.org/web/20231112072438/https://hive.biochemistry.gwu.edu/biomuta, http://web.archive.org/web/20240223234108/https://hive.biochemistry.gwu.edu/bioxpress"
30066211,HAMdb,0.991403401,HAMdb,0.991403401,Human Autophagy Modulator Database,0.978727545,1,2018-07-31,http://hamdb.scbdd.com,200,CN,"(30.2936,120.1614)",http://web.archive.org/web/20240313124257/http://hamdb.scbdd.com/
30380109,iEKPD,0.997320652,iEKPD,0.997320652,,0,1,2019-01-01,http://iekpd.biocuckoo.org,200,US,"(40.2338,-111.6585)",http://web.archive.org/web/20240602140001/https://iekpd.biocuckoo.org/
"30445619, 33231677, 27924024",GTRD,0.998025298,GTRD,0.998025298,Gene Transcription Regulation Database,0.985109007,3,2021-01-01,http://gtrd.biouml.org,200,RU,"(55.0415,82.9346)",http://web.archive.org/web/20240313113405/http://gtrd.biouml.org/
30967549,iFISH,0.997145891,iFISH,0.997145891,,0,1,2019-04-09,http://ifish4u.org,"HTTPConnectionPool(host='ifish4u.org', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f169820>, 'Connection to ifish4u.org timed out. (connect timeout=5)'))",,,no_wayback
31029701,Codon and Codon-Pair Usage Tables,0.987904727,CoCoPUTs,0.973919183,Codon and Codon-Pair Usage Tables,0.987904727,1,2019-04-26,http://hive.biochemistry.gwu.edu/review/codon2,301,US,"(39.0437,-77.4875)",no_wayback
31139565,HNCDB,0.998145655,HNCDB,0.998145655,Head and Neck Cancer Database,0.987272012,1,2019-05-14,http://hncdb.cancerbio.info,200,HK,"(22.2783,114.1747)",http://web.archive.org/web/20240124154904/http://hncdb.cancerbio.info/
31180159,KHV,0.773043275,KHV,0.773043275,,0,1,2019-07-03,http://genomes.vn,301,VN,"(21.0245,105.8412)",http://web.archive.org/web/20240606070222/http://www.genomes.vn/
31283070,VIPdb,0.984589517,VIPdb,0.984589517,genetic Variant Impact Predictor Database,0.94663018,1,2019-08-17,http://genomeinterpretation.org/vipdb,404,,,http://web.archive.org/web/20201125080959/https://genomeinterpretation.org/vipDB
31296229,GENT2,0.991305053,GENT2,0.991305053,Gene Expression database of Normal and Tumor tissues 2,0.9513432,1,2019-07-11,http://gent2.appex.kr,200,KR,"(37.5660,126.9784)",http://web.archive.org/web/20240228161350/http://gent2.appex.kr/
31410488,ncRNA-eQTL,0.982337432,ncRNA-eQTL,0.982337432,,0,1,2020-01-01,http://ibi.hzau.edu.cn/ncRNA-eQTL,301,CN,"(31.2222,121.4581)",http://web.archive.org/web/20231129191346/http://ibi.hzau.edu.cn/ncRNA-eQTL/
31432762,tRic,0.994563282,tRic,0.994563282,,0,1,2019-08-25,"http://hanlab.uth.edu/tRic/, http://bioinfo.life.hust.edu.cn/tRic","404, HTTPConnectionPool(host='bioinfo.life.hust.edu.cn', port=80): Pool is closed.",", ",", ","http://web.archive.org/web/20230325042647/https://hanlab.uth.edu/tRic/, http://web.archive.org/web/20230325175621/http://bioinfo.life.hust.edu.cn/tRic/"
31509535,GutFeelingKB,0.991220474,GutFeelingKB,0.991220474,,0,1,2019-09-11,http://hive.biochemistry.gwu.edu/gfkb,301,US,"(39.0437,-77.4875)",http://web.archive.org/web/20231208103344/https://hive.biochemistry.gwu.edu/gfkb
31511885,SNP2APA,0.91174376,SNP2APA,0.91174376,,0,1,2020-01-01,http://gong_lab.hzau.edu.cn/SNP2APA,200,CN,"(31.2222,121.4581)",http://web.archive.org/web/20221208204337/http://gong_lab.hzau.edu.cn/SNP2APA
31584087,Animal-ImputeDB,0.997726774,Animal-ImputeDB,0.997726774,,0,1,2020-01-01,http://gong_lab.hzau.edu.cn/Animal_ImputeDB,200,CN,"(31.2222,121.4581)",no_wayback
31586392,APAatlas,0.997015476,APAatlas,0.997015476,,0,1,2020-01-01,http://hanlab.uth.edu/apa,404,,,http://web.archive.org/web/20230325033539/https://hanlab.uth.edu/apa/
31600197,iCite,0.957005501,iCite,0.957005501,Open Citation Collection,0.840594471,1,2019-10-10,http://icite.od.nih.gov,301,US,"(45.8399,-119.7006)",http://web.archive.org/web/20240711173249/https://icite.od.nih.gov/
